Point;x_Encoder;y_Encoder;z_Encoder;encoder_0;encoder_1;encoder_2;encoder_3;encoder_4;encoder_5;encoder_6;encoder_7
03_03_1_P33;794.0931701;6630.763505;1053.683867;2964;29786;1046;150696;196872;33463317;1412;7434
03_03_1_P34;851.9727675;6991.576877;1016.165868;2964;29786;4719;150689;196875;33463325;1412;7434
03_03_1_P35;905.0252941;7305.741121;983.4180373;2964;29786;7919;150687;196874;33463332;1412;7434
03_03_1_P36;844.2482147;8263.209803;887.3682191;2964;29786;7919;150775;196847;33491378;1412;7434
03_03_1_P37;426.6921537;8351.596967;875.406964;2681;29785;7917;150835;189235;33491378;1412;7434
03_03_1_P38;427.7625922;7347.35935;980.6736388;2681;29785;7916;150732;189262;33462019;1412;7434
03_03_1_P39;413.7242162;7055.513646;1011.118365;2681;29784;4973;150726;189267;33462037;1412;7434
03_03_1_P40;397.3126301;6709.839364;1046.721975;2681;29784;1487;150729;189270;33462057;1412;7434
03_03_1_P41;-622.473252;6685.386123;1046.722995;2169;29784;1487;150749;181675;33462057;1412;7434
03_03_1_P42;-689.9427963;7091.202808;1004.609355;2169;29784;5617;150746;181676;33462074;1412;7434
03_03_1_P43;-746.9953263;7433.448194;968.8414563;2170;29783;9102;150744;181680;33462082;1412;7434
03_03_1_P44;-778.9038262;8449.286783;861.9149776;2170;29772;9101;150819;181668;33491808;1412;7434
03_03_1_P45;-1599.794695;8314.690487;863.1955369;1872;29772;9101;150834;179116;33491809;1411;7434
03_03_1_P46;-1496.746191;7952.350408;902.152637;1871;29772;5309;150834;179117;33491811;1411;7433
03_03_1_P47;-1400.341688;6897.258725;1011.05728;1871;29771;5309;150754;179143;33460831;1411;7434
03_03_1_P48;-1321.478959;6629.591047;1039.772225;1871;29772;2503;150756;179144;33460836;1411;7434
03_03_1_P49;-1180.891126;6453.273333;2015.621705;1872;39671;2502;160438;177403;33460819;1412;7434
03_03_1_P50;-1272.334284;6753.897531;2045.907398;1872;39669;5868;160439;177405;33460825;1412;7554
03_03_1_P51;-1354.200494;7032.059612;2084.936642;1872;39669;8792;160439;177407;33460829;1412;7554
03_03_1_P52;-1399.998694;7960.190722;1978.811873;1872;39668;8792;160477;177397;33488773;1411;7706
03_03_1_P53;-824.8421818;8084.137353;1975.65246;2210;39668;8791;160460;184653;33488773;1411;7706
03_03_1_P54;-739.2691276;7109.309597;2068.987627;2210;39667;8790;160420;184668;33460155;1412;7704
03_03_1_P55;-678.8011144;6705.520635;2014.05483;2210;39668;4667;160420;184669;33460153;1412;7702
03_03_1_P56;-624.9193223;6344.392557;1964.122133;2209;39668;981;160429;184668;33460164;1412;7702
03_03_1_P57;216.3397684;6361.937434;1964.959539;2667;39667;980;160414;191878;33460164;1412;7702
03_03_1_P58;236.877936;6852.954535;2031.370513;2666;39666;5930;160408;191869;33460184;1412;7702
03_03_1_P59;246.7321018;7094.838396;2063.917013;2666;39666;8372;160408;191869;33460188;1412;7702
03_03_1_P60;159.3252791;8286.578164;1946.581864;2666;39667;8371;160509;191872;33495135;1412;7706
03_03_1_P61;788.8604412;8214.562427;2028.642067;2927;39658;8371;159530;195537;33495135;1412;7706
03_03_1_P62;838.5016855;7184.583455;2104.603058;2927;39657;8370;159448;195560;33465057;1412;7706
03_03_1_P63;789.1323544;6863.588919;2061.463358;2927;39657;5088;159441;195565;33465065;1412;7704
03_03_1_P64;735.7109883;6515.485186;2013.988859;2927;39657;1534;159443;195566;33465066;1412;7704
