Point_Encoder;x_Encoder;y_Encoder;z_Encoder;x_TS;y_TS;z_TS;delta_x;delta_y;delta_z;Norm
10_12_G5_P3;-123.2168917;6971.534504;1585.642492;-164.1459429;6970.753009;1580.118603;-40.92905117;-0.781495064;-5.523888611;41.30752122
10_12_G5_P4;-127.91303;7216.913703;1581.92593;-171.0491273;7215.669582;1578.324707;-43.1360973;-1.244121099;-3.601223223;43.30403603
10_12_G5_P5;-133.5655826;7538.975904;1576.123459;-179.8459718;7538.548137;1575.000017;-46.28038923;-0.427766756;-1.123442211;46.29599911
10_12_G5_P6;-139.9505324;7900.223013;1568.816536;-190.6188725;7900.343727;1568.925843;-50.66834006;0.120713549;0.109306628;50.66860176
10_12_G5_P7;-144.8126138;8180.956912;1562.698884;-198.4795928;8182.16231;1562.407039;-53.66697896;1.2053979;-0.291845253;53.68130763
10_12_G5_P8;-150.2811417;8513.517799;1554.627378;-207.6175684;8515.935559;1553.868016;-57.33642672;2.417760266;-0.759362476;57.3924039
10_12_G5_P9;-153.4783115;8942.539012;1544.092936;-219.1063709;8944.602538;1540.465493;-65.62805936;2.063526406;-3.627442799;65.76061632
10_12_G5_P10;-160.5308578;9414.686275;1531.284037;-232.6494154;9414.145599;1522.274855;-72.11855761;-0.540676108;-9.009182254;72.68111204
10_12_G6_P1;-379.2214064;6549.969446;1952.085392;-414.6468877;6550.555809;1941.340955;-35.42548126;0.586362535;-10.74443733;37.02366104
10_12_G6_P2;-340.1846746;6552.336937;1822.473604;-375.6622959;6551.938945;1810.695295;-35.47762131;-0.397991965;-11.77830891;37.38380093
10_12_G6_P3;-194.1148547;6557.620821;1708.251602;-230.4781869;6557.223213;1696.403341;-36.36333218;-0.397608215;-11.84826081;38.24697771
10_12_G6_P4;-82.04763192;6560.939899;1697.70543;-119.749429;6561.644087;1682.670242;-37.70179711;0.70418762;-15.03518822;40.59529863
10_12_G6_P5;26.93086932;6483.094533;1584.753165;-9.559581436;6484.081083;1570.553438;-36.49045076;0.986550119;-14.19972712;39.16833578
10_12_G6_P6;205.2265107;6487.574747;1716.596097;169.3783445;6490.004441;1701.824655;-35.8481662;2.429693723;-14.77144193;38.84829376
10_12_G6_P7;294.3503351;6463.355023;1851.98489;259.0419162;6464.763796;1834.041726;-35.30841891;1.408773487;-17.94316444;39.63112714
10_12_G6_P8;292.8278829;6461.86094;2071.679041;259.3942542;6464.051876;2052.118246;-33.43362869;2.190936222;-19.56079525;38.79732516
10_12_G6_P9;195.9613453;6461.24726;2241.157631;166.9607486;6464.152444;2222.538422;-29.00059666;2.905183533;-18.6192087;34.58539621
10_12_G6_P10;86.51405887;6458.052638;2325.813197;59.28842112;6462.238231;2309.19871;-27.22563775;4.185593086;-16.61448667;32.16824067
10_12_G7_P1;20.4888604;6186.33705;1529.272816;-13.19488633;6184.80719;1517.573052;-33.68374673;-1.529859563;-11.69976377;35.69061132
10_12_G7_P2;16.0616652;6261.509825;1506.378819;-18.35525169;6259.238952;1493.154136;-34.41691689;-2.270873006;-13.22468313;36.94013098
10_12_G7_P3;12.93633428;6336.528458;1505.937412;-22.19954733;6335.15395;1491.69318;-35.13588161;-1.374507655;-14.24423167;37.93833923
10_12_G7_P4;11.59110097;6406.149113;1525.170134;-24.60227528;6405.495631;1510.328493;-36.19337625;-0.653482383;-14.84164076;39.12367345
10_12_G7_P5;11.25511474;6465.314938;1560.217798;-25.52558599;6466.185987;1545.139815;-36.78070073;0.871048819;-15.07798288;39.76083802
10_12_G7_P6;-69.53917608;6521.303458;1604.992467;-107.2194211;6523.134874;1591.226055;-37.68024506;1.831415943;-13.76641231;40.158051
10_12_G7_P7;-53.85356732;6550.489057;1660.005054;-92.0904229;6552.580308;1645.430112;-38.23685558;2.091250566;-14.57494203;40.97388667
10_12_G7_P8;-41.95220348;6561.720207;1700.830933;-81.80676032;6568.692302;1688.969174;-39.85455684;6.972095427;-11.86175936;42.162746
