Point_Encoder;x_Encoder;y_Encoder;z_Encoder;x_TS;y_TS;z_TS;delta_x;delta_y;delta_z;Norm
16_12_P48;2391.936367;8302.446563;3793.435354;2375.65606;8300.904664;3820.022658;-16.280307;-1.541899;26.587304;31.21394859
16_12_P49;2677.335683;8948.185577;3801.667473;2666.332509;8944.144676;3814.974232;-11.003174;-4.040901;13.306759;17.73326149
16_12_P50;2651.008005;9539.188216;3907.825805;2634.867781;9531.689426;3918.816114;-16.140224;-7.49879;10.990309;20.91711215
13_12_T_P1;-2973.10392;10092.57057;-1037.909108;-2995.458001;10097.75566;-1061.514354;-22.354081;5.18509;-23.605246;32.92108353
13_12_T_P2;-3149.101059;9243.906851;-1184.941092;-3167.318785;9250.567522;-1191.653229;-18.217726;6.660671;-6.712137;20.52566344
13_12_T_P3;-3053.67676;8532.000422;-1123.136639;-3070.131793;8538.952423;-1122.655856;-16.455033;6.952001;0.480783;17.86979506
13_12_T_P4;-3203.423489;7916.417523;-1203.305977;-3224.452561;7916.44272;-1195.62001;-21.029072;0.025197;7.685967;22.38965358
13_12_T_P5;-3196.42176;7428.155337;-1160.406046;-3199.083383;7432.787306;-1147.155133;-2.661623;4.631969;13.250913;14.28726967
13_12_T_P6;-3200.7433;6956.98591;-1154.926625;-3194.745174;6963.790287;-1140.676323;5.998126;6.804377;14.250302;16.89225197
13_12_T_P7;-3061.446652;6450.075595;-1203.044162;-3054.320824;6455.951596;-1190.53477;7.125828;5.876001;12.509392;15.5495886
13_12_T_P8;-3181.013929;5896.588042;-1145.096234;-3172.210279;5900.897611;-1136.394693;8.80365;4.309569;8.701541;13.10699989
13_12_T_P9;-3221.178473;5733.75045;-717.0176021;-3215.417783;5735.317985;-708.2154108;5.76069;1.567535;8.8021913;10.63584909
13_12_T_P10;-3273.809412;6378.444707;-752.0825019;-3267.352394;6380.810546;-736.5552882;6.457018;2.365839;15.5272137;16.98189136
13_12_T_P11;-3392.035592;6799.28846;-730.4148267;-3389.113168;6800.489382;-715.2014171;2.922424;1.200922;15.2134096;15.53803746
13_12_T_P12;-3336.685658;7126.424385;-791.6675708;-3333.936651;7128.761318;-776.7569776;2.749007;2.336933;14.9105932;15.34092846
13_12_T_P13;-3564.234744;7560.861972;-737.2289289;-3563.617759;7565.495274;-722.0665761;0.616985;4.633302;15.1623528;15.86647717
13_12_T_P14;-3175.598926;8125.332236;-823.5743832;-3185.356779;8127.148729;-812.3883617;-9.757853;1.816493;11.1860215;14.95467884
13_12_T_P15;-3372.531314;8567.222674;-797.6364525;-3387.744313;8568.797899;-795.2332962;-15.212999;1.575225;2.4031563;15.48198379
13_12_T_P16;-3680.657959;9294.723452;-755.0640375;-3709.875403;9290.702577;-776.9250179;-29.217444;-4.020875;-21.8609804;36.7114282
13_12_T_P17;-3441.709648;9751.98858;-790.8922352;-3470.400249;9749.960856;-815.9952453;-28.690601;-2.027724;-25.1030101;38.17621471
13_12_T_P18;-3122.528398;10246.79462;-460.8858283;-3155.030035;10245.23218;-496.8574328;-32.501637;-1.56244;-35.9716045;48.50519539
13_12_T_P19;-3162.295477;9663.914066;-488.6367113;-3192.436016;9662.605814;-518.4284775;-30.140539;-1.308252;-29.7917662;42.39944483
13_12_T_P20;-3158.536092;8891.558462;-455.1205405;-3183.300537;8890.236558;-478.8396659;-24.764445;-1.321904;-23.7191254;34.31649836
13_12_T_P21;-3227.446602;8188.55951;-568.402005;-3240.215632;8189.41446;-583.7303542;-12.76903;0.85495;-15.3283492;19.96840876
13_12_T_P22;-3241.57818;7722.03509;-651.0133863;-3241.247856;7726.771112;-653.3224929;0.330324;4.736022;-2.3091066;5.279298585
13_12_T_P23;-3215.669154;7030.80117;-651.829008;-3212.614203;7035.196872;-649.6918062;3.054951;4.395702;2.1372018;5.763900812
13_12_T_P24;-2893.515268;6437.139151;-516.7018237;-2888.995779;6438.495073;-512.5200971;4.519489;1.355922;4.1817266;6.304850595
13_12_T_P25;-2831.189044;5978.363056;-543.3365395;-2825.4568;5977.138006;-546.1274439;5.732244;-1.22505;-2.7909044;6.492188578
13_12_T_P26;-3007.218312;5868.294475;45.83271011;-3001.487873;5867.577258;43.02321631;5.730439;-0.717217;-2.8094938;6.422272643
13_12_T_P27;-3396.236895;6436.402376;-14.00393106;-3392.120502;6437.349162;-8.53379167;4.116393;0.946786;5.47013939;6.911115926
13_12_T_P28;-3249.830038;7154.285491;-125.0081444;-3248.007626;7157.066979;-115.4484346;1.822412;2.781488;9.5597098;10.12155685
13_12_T_P29;-3547.502816;7708.426619;-50.71633678;-3548.287007;7713.5195;-42.09393505;-0.784191;5.092881;8.62240173;10.04480993
13_12_T_P30;-3314.11766;8262.040647;-114.7143829;-3318.532913;8267.013753;-109.940579;-4.415253;4.973106;4.7738039;8.18629634
13_12_T_P31;-3297.970146;8843.273226;-21.05919206;-3306.194963;8851.258233;-26.99384255;-8.224817;7.985007;-5.93465049;12.90844788
13_12_T_P32;-3513.328949;9401.352616;12.88844067;-3525.261082;9409.71779;-1.954742659;-11.932133;8.365174;-14.84318333;20.80077019
13_12_T_P33;-3716.002296;9928.763747;53.88418356;-3726.435712;9938.823177;34.40810463;-10.433416;10.05943;-19.47607893;24.27686044
13_12_T_P34;-3597.178173;9616.973604;568.3020957;-3613.604585;9624.726965;551.2201638;-16.426412;7.753361;-17.0819319;24.93459497
13_12_T_P35;-3438.873857;9205.106851;595.7261419;-3461.061097;9209.904751;585.3084937;-22.18724;4.7979;-10.4176482;24.97640584
13_12_T_P36;-3370.702599;8584.784817;523.4040422;-3387.215576;8588.041442;517.7965561;-16.512977;3.256625;-5.6074861;17.74057263
13_12_T_P37;-3343.364246;7717.816762;514.4343862;-3353.50385;7719.293695;510.9505285;-10.139604;1.476933;-3.4838577;10.82266859
13_12_T_P38;-3016.222702;7023.041078;617.7868286;-3019.015617;7025.224531;618.9256023;-2.792915;2.183453;1.1387737;3.723525979
13_12_T_P39;-2697.591987;6326.373659;591.0034949;-2699.579321;6324.017381;588.2338516;-1.987334;-2.356278;-2.7696433;4.143967315
13_12_T_P40;-2664.136392;6234.781047;1611.684541;-2667.979899;6233.242468;1614.927274;-3.843507;-1.538579;3.242733;5.258810278
