Point;X;Y;Z
18_03_K_P12;1000.543;1982.585;98.29
18_03_K_P11;1001.663;1982.032;98.27
18_03_K_P10;1002.54;1980.546;98.25
18_03_K_P9;1002.626;1980.608;99.052
18_03_K_P8;1001.926;1980.478;99.065
18_03_K_P7;1000.858;1980.426;99.088
18_03_K_P6;1000.663;1981.191;99.095
18_03_K_P5;1001.725;1981.063;99.073
18_03_K_P4;1002.608;1981.013;99.056
18_03_K_P3;1002.483;1982.263;99.059
18_03_K_P2;1001.725;1982.225;99.075
18_03_K_P1;1001.15;1982.489;99.086
