Point_Encoder;x_Encoder;y_Encoder;z_Encoder;x_TS;y_TS;z_TS;delta_x;delta_y;delta_z;Norm;encoder_0;encoder_1;encoder_2;encoder_3;encoder_4;encoder_5;encoder_6;encoder_7
01_02_P305;-370.3370902;5064.35275;4040.550417;-352.184028062797;5064.329575640374;4057.268481377397;18.153062137202994;-0.02317435962595482;16.71806437739724;24.678490199663663;0.08200814767512887;0.6831247880551353;0.035300000000000005;0.6108599118758352;-0.03262106019238059;0.03674355994854009;-0.24850488763747386;0.7853981633974483
01_02_P306;-422.4536274;5534.511857;4410.021031;-400.0333558664957;5532.540725299785;4428.211547941279;22.42027153350432;-1.9711317002156648;18.190516941278474;28.938708374884296;0.08200814767512887;0.6832206618543781;0.6359;0.610620227377728;-0.0326450286421913;0.036056764435483266;-0.24850488763747386;0.7853981633974483
01_02_P307;-506.272522;6148.755478;4449.467941;-488.9674920431069;6150.488023196823;4470.953268231418;17.305029956893065;1.7325451968226844;21.485327231418523;27.642088577188485;0.08200814767512887;0.6832685987539996;0.6358;0.6110516594743208;-0.032309470344841315;0.6632040871833221;-0.24927187803141668;0.8076408848217901
01_02_P308;-615.0212858;6975.45567;4504.124915;-605.8813313678007;6980.977196972459;4520.104903106492;9.13995443219926;5.52152697245856;15.979988106491874;19.219418487922262;0.08159804789135494;0.6833405041034317;0.6352;0.6112194386229959;-0.03166232219995206;1.4986564890412957;-0.25080585881930234;0.803805932852076
01_02_P309;-715.1851237;7726.174677;4552.875879;-712.2955679550155;7735.402319111429;4554.524994946359;2.8895557449844773;9.227642111429304;1.6491159463585063;9.809102647262398;0.08159804789135494;0.6833644725532424;0.6349;0.6114830915709137;-0.03111104785430566;2.258046287828226;-0.252339839607188;0.8045729232460188
01_02_P310;-800.3585361;8376.898999;4589.582942;-803.5802722250346;8389.91089245733;4576.584646677978;-3.2217361250345675;13.011893457331098;-12.998295322022386;18.672028178074218;0.08159804789135494;0.6831008196053245;0.6347;0.6122500819648565;-0.03055977350865926;2.918434513408015;-0.25464081078901646;0.8206797215188181
01_02_P311;-863.0822771;8945.683508;5022.48426;-836.0034167129218;8962.333641455456;4988.135290916202;27.078860387078294;16.650133455455943;-34.34896908379778;46.80110363086609;0.08159804789135494;0.6822619238619496;1.3515000000000001;0.6122740504146672;-0.03058374195846997;2.9178850769975697;-0.25540780118295925;0.8099418560036186
01_02_P312;-753.1174863;8132.220263;4971.211987;-722.9181277136514;8146.1977041830505;4961.794328937858;30.19935858634858;13.97744118305036;-9.417658062141527;34.584135155124486;0.08159804789135494;0.6822139869623282;1.3515000000000001;0.6120343659165601;-0.030799458006766388;2.0945202761693964;-0.25540780118295925;0.8068738944278473
01_02_P314;-568.8015075;6743.826624;4882.09112;-532.613797065997;6745.932653866597;4897.303697122384;36.18771043400295;2.106029866597055;15.212577122383664;39.31168084626649;0.08159804789135494;0.6820941447132747;1.3514000000000002;0.6116508707195887;-0.0320937542965449;0.6863147561976842;-0.25157284921324513;0.7900001057611052
01_02_P315;-479.8082802;6086.012363;4841.834339;-441.58290782355334;6085.0699616566635;4857.367783238769;38.22537237644667;-0.9424013433363143;15.533444238769334;41.27172280786072;0.08159804789135494;0.6820462078136532;1.3513000000000002;0.6105243535784852;-0.032740902441434155;0.020500846064746198;-0.25080585881930234;0.7853981633974483
01_02_P316;-516.7210032;6420.068596;5103.211657;-475.51614821462636;6416.536891865357;5123.666878406396;41.204854985373686;-3.5317041346434053;20.45522140639605;46.13815223050242;0.08159804789135494;0.6821181131630853;1.7772000000000001;0.6105243535784852;-0.03278883934105558;0.020329147186481992;-0.25080585881930234;0.7853981633974483
01_02_P317;-601.0494533;7037.096674;5141.884664;-562.6851051160185;7039.430670059925;5161.268902747211;38.36434818398152;2.3339960599250844;19.384238747210475;43.0467125457725;0.08159804789135494;0.682142081612896;1.7773;0.6110037225746995;-0.03242931259389488;0.6501893122108954;-0.25080585881930234;0.8084078752157329
01_02_P318;-718.0472638;7907.26086;5199.11555;-682.8554256971828;7914.711047393014;5202.601112756819;35.1918381028172;7.450187393013948;3.485562756818581;36.14028097535548;0.08159804789135494;0.6822139869623282;1.7773;0.6111715017233744;-0.03175819599919492;1.5287037927375318;-0.25310683000113077;0.8022719520641903
01_02_P319;-805.0289168;8587.682787;5240.81318;-776.8290063888096;8599.196629362272;5226.1266749367915;28.199910411190444;11.513842362272044;-14.686505063208642;33.81563165333557;0.08118793214400966;0.6820222393638425;1.7772000000000001;0.6114111862214816;-0.031206921653548512;2.215636664896967;-0.25464081078901646;0.803805932852076
01_02_P320;-878.5979551;9149.126316;5273.28666;-853.1154794166428;9162.86362200327;5239.650505974121;25.48247568335728;13.737306003269623;-33.63615402587857;44.3786097217228;0.08118793214400966;0.6818784286649782;1.7773;0.6119864290169387;-0.030775489556955676;2.782723720027987;-0.2569417819708449;0.8068738944278473
01_02_P321;-1799.978761;9011.814619;5269.924215;-1773.3554127576735;9027.270731011224;5239.826382670247;26.62334824232653;15.456112011223013;-30.097832329753146;43.0531483295426;0.22830240634906995;0.6817106495163032;1.7772000000000001;0.6125377033625851;0.057428405746468694;2.7825520211497228;-0.2615437243345018;0.8068738944278473
01_02_P322;-1643.221455;8203.735866;5218.844121;-1611.328106160554;8216.370457365902;5215.292831759632;31.893348839446162;12.634591365900633;-3.5512892403685328;34.48811758340327;0.22830240634906995;0.6816866810664926;1.7772000000000001;0.6122740504146672;0.05709284744911871;1.956371358718016;-0.26000974354661616;0.8015049616702475
01_02_P323;-1463.954355;7281.633099;5159.908395;-1426.7076990744595;7285.711817275313;5177.625910903366;37.24665592554061;4.0787182753128945;17.717515903365893;41.44707094827093;0.2278937873480984;0.6816147757170604;1.7772000000000001;0.6120823028161816;0.055798551159340196;1.0118558293866189;-0.2569417819708449;0.7900001057611052
01_02_P324;-1392.634503;6887.170464;4884.220936;-1353.4198178804552;6886.933697859814;4898.780261387151;39.21468511954481;-0.23676614018586406;14.559325387151148;41.83086830271554;0.2278937873480984;0.6816147757170604;1.7771000000000001;0.7038335286915914;0.0552472768136938;0.5551711529794837;-0.2538738203950736;0.7838641826095626
01_02_P325;-1288.570261;6357.021099;4899.967937;-1245.1284610396901;6354.695899217504;4917.935065063661;43.441799960309936;-2.325199782495474;17.96712806366031;47.068187012844156;0.2278937873480984;0.681566838817439;1.7771000000000001;0.7035938441934844;0.05479187626729025;0.01339251250460807;-0.25310683000113077;0.7792622402459057
01_02_P326;-1179.348663;5939.38634;4564.674518;-1151.7938422531179;5938.220991365648;4577.966981462614;27.554820746882115;-1.1653486343520854;13.29246346261425;30.615613153051925;0.2278937873480984;0.6815189019178175;1.2303;0.7035698757436736;0.05483981316691167;0.013770250036789323;-0.252339839607188;0.7792622402459057
01_02_P327;-1308.680767;6593.23229;4544.935684;-1286.0862558890706;6593.8653911505;4557.942825986852;22.59451111092949;0.6331011504998969;13.00714198685182;26.078698051758717;0.2278937873480984;0.681566838817439;1.2305000000000001;0.7038814655912129;0.05515140301445094;0.6817132262602036;-0.252339839607188;0.7838641826095626
01_02_P328;-1480.353362;7474.383363;4517.018367;-1463.3479501594297;7479.210440113007;4519.310810159043;17.005411840570332;4.827077113007363;2.2924431590436143;17.825262998333994;0.2278937873480984;0.6816147757170604;1.2306000000000001;0.7045286137361021;0.05582251960915091;1.583372715576855;-0.25464081078901646;0.7976700097005334
01_02_P329;-1586.181367;8020.997909;4498.558795;-1573.3243375208608;8029.197262744196;4488.836429735114;12.8570294791391;8.199353744196742;-9.72236526488632;18.084717172070818;0.2278937873480984;0.6816387441668711;1.2308000000000001;0.7051517934311807;0.056182046356311605;2.1409819926276903;-0.2569417819708449;0.8007379712763046
01_02_P330;-1718.859124;8711.488999;4474.948071;-1711.0068528063878;8719.30052592301;4444.193299122405;7.852271193612296;7.811526923011115;-30.754771877594976;32.688439990459436;0.2278937873480984;0.6816866810664926;1.2308000000000001;0.7058468784756914;0.056709352252147294;2.8451190923891994;-0.26000974354661616;0.803805932852076
01_02_P331;-1817.834296;9090.007963;4778.670347;-1791.4266793663035;9100.27191718549;4742.5595988040595;26.407616633696534;10.263954185489638;-36.11074819594069;45.898770212988815;0.2278937873480984;0.6817106495163032;1.726;0.7058468784756914;0.056709352252147294;2.8450504128378937;-0.260776733940559;0.803805932852076
01_02_P332;-1655.53772;8259.641078;4805.422073;-1625.1498932987927;8269.977080213115;4796.350965983665;30.38782670120736;10.336002213114625;-9.071107016334281;33.354728838260854;0.2278937873480984;0.6816627126166818;1.7261000000000002;0.7055592570779629;0.05649363620385088;1.9967549348857574;-0.25924275315267337;0.7976700097005334
01_02_P333;-1465.249375;7275.565423;4836.293124;-1427.013434703753;7279.374163212773;4849.612588267013;38.23594029624701;3.8087402127730456;13.319464267013245;40.66819101837212;0.2278937873480984;0.6816147757170604;1.7261000000000002;0.7053195725798557;0.055654740460475915;0.9893289365583551;-0.2561747915769021;0.7807962210337913
