Point;x_TS;y_TS;z_TS
03_03_M1_P20;1001.219;1976.418;99.372
03_03_M1_P19;1002.133;1977.302;99.45
03_03_M1_P18;1003.139;1977.143;99.401
03_03_M1_P17;1003.76;1978.161;99.54
03_03_M1_P16;1004.814;1977.578;99.381
03_03_M1_P15;1005.052;1977.887;99.868
03_03_M1_P14;1004.184;1977.771;100.142
03_03_M1_P13;1002.926;1977.098;100.031
03_03_M1_P12;1001.558;1977.33;100.085
03_03_M1_P11;1001.133;1979.39;102.267
03_03_M1_P10;1002.736;1979.026;102.214
03_03_M1_P9;1004.449;1979.058;102.139
03_03_M1_P8;1005.069;1977.711;102.214
03_03_M1_P7;1007.686;1978.496;101.772
03_03_M1_P6;1005.991;1978.711;101.891
03_03_M1_P5;1006.189;1977.502;102.71
03_03_M1_P4;1004.305;1977.738;102.642
03_03_M1_P3;1001.785;1978.593;102.597
03_03_M1_P2;1003.188;1977.851;102.794
03_03_M1_P1;1002.391;1978.219;102.763
