Punktmessung;x;y;z
03_12_24_P1_TS;1532.040755;5408.973189;3543.488982
03_12_24_P2_TS;1339.284682;5496.654019;3492.428544
03_12_24_P3_TS;2751.674073;5075.447479;3786.758731
03_12_24_P4_TS;388.6994336;5584.745064;3269.182821
03_12_24_P5_TS;628.7081007;5794.310632;2246.350913
03_12_24_P6_TS;1737.904865;5682.973083;2499.529679
03_12_24_P9_TS;1804.356428;5755.572925;1660.380435
03_12_24_P10_TS;641.7151082;5850.310387;1391.166812
