Point;x_Encoder;y_Encoder;z_Encoder;encoder_0;encoder_1;encoder_2;encoder_3;encoder_4;encoder_5;encoder_6;encoder_7
03_03_M_P1;948.3476319;8925.392174;1842.541154;2916;38511;11797;158931;193653;33506065;1408;7946
03_03_M_P1_first_stage_corrected;948.3476319;8925.392174;1815.591167;2916;38511;11797;158931;193653;33506065;1408;7946
03_03_M_P1_second_stage_corrected;955.1864275;8935.639614;1794.709053;2916;38511;11797;158931;193653;33506065;1408;7946
03_03_M_P2;2308.31337;8563.326079;2365.95511;3149;42225;11796;161582;187963;33506063;1407;7946
03_03_M_P2_first_stage_corrected;2308.31337;8563.326079;2341.800649;3149;42225;11796;161582;187963;33506063;1407;7946
03_03_M_P2_second_stage_corrected;2315.152166;8573.573519;2320.918535;3149;42225;11796;161582;187963;33506063;1407;7946
03_03_M_P3;-3533.013575;8403.680154;2220.232223;1756;42225;6040;161533;194430;33531072;1407;7950
03_03_M_P3_first_stage_corrected;-3533.013575;8403.680154;2189.49782;1756;42225;6040;161533;194430;33531072;1407;7950
03_03_M_P3_second_stage_corrected;-3526.174779;8413.927595;2168.615707;1756;42225;6040;161533;194430;33531072;1407;7950
03_03_M_P4;-3093.656058;7990.588898;1717.164793;1756;35673;14758;154300;194498;33483853;1408;7942
03_03_M_P4_first_stage_corrected;-3093.656058;7990.588898;1700.528023;1756;35673;14758;154300;194498;33483853;1408;7942
03_03_M_P4_second_stage_corrected;-3086.817263;8000.836339;1679.645909;1756;35673;14758;154300;194498;33483853;1408;7942
03_03_M_P5;-4322.578109;8287.669323;1684.186361;1757;35674;14757;154314;204749;33511925;1406;7946
03_03_M_P5_first_stage_corrected;-4322.578109;8287.669323;1646.977984;1757;35674;14757;154314;204749;33511925;1406;7946
03_03_M_P5_second_stage_corrected;-4315.739313;8297.916764;1626.09587;1757;35674;14757;154314;204749;33511925;1406;7946
03_03_M_P6;428.0542902;8928.62463;1687.8179;2601;35672;14756;154407;185721;33493665;1408;7944
03_03_M_P6_first_stage_corrected;428.0542902;8928.62463;1661.838803;2601;35672;14756;154407;185721;33493665;1408;7944
03_03_M_P6_second_stage_corrected;434.8930858;8938.872071;1640.956689;2601;35672;14756;154407;185721;33493665;1408;7944
03_03_M_P7;389.0781605;7760.34321;1699.032072;2601;35671;9387;154343;185734;33475220;1408;7939
03_03_M_P7_first_stage_corrected;389.0781605;7760.34321;1699.814052;2601;35671;9387;154343;185734;33475220;1408;7939
03_03_M_P7_second_stage_corrected;395.9169561;7770.590651;1678.931938;2601;35671;9387;154343;185734;33475220;1408;7939
03_03_M_P8;1623.287273;7572.886567;1704.593823;3125;35672;9387;154269;193893;33475220;1408;7939
03_03_M_P8_first_stage_corrected;1623.287273;7572.886567;1705.864516;3125;35672;9387;154269;193893;33475220;1408;7939
03_03_M_P8_second_stage_corrected;1630.064861;7583.139891;1684.982896;3125;35672;9387;154269;193893;33475220;1408;7939
03_03_M_P9;2771.806728;8016.49036;2027.163551;3128;35671;9387;149963;179854;33498443;1408;7944
03_03_M_P9_first_stage_corrected;2771.806728;8016.49036;2012.591252;3128;35671;9387;149963;179854;33498443;1408;7944
03_03_M_P9_second_stage_corrected;2778.645524;8026.737801;1991.709138;3128;35671;9387;149963;179854;33498443;1408;7944
03_03_M_P10;1230.922821;7528.852882;1292.812644;2915;30988;9389;147674;188545;33469709;1408;7942
03_03_M_P10_first_stage_corrected;1230.922821;7528.852882;1296.28897;2915;30988;9389;147674;188545;33469709;1408;7942
03_03_M_P10_second_stage_corrected;1237.761617;7539.100323;1275.406856;2915;30988;9389;147674;188545;33469709;1408;7942
03_03_M_P11;135.5826636;9282.070711;1310.682587;2589;30988;5046;147920;188470;33530494;1408;7947
03_03_M_P11_first_stage_corrected;135.5826636;9282.070711;1275.302559;2589;30988;5046;147920;188470;33530494;1408;7947
03_03_M_P11_second_stage_corrected;142.4214592;9292.318151;1254.420445;2589;30988;5046;147920;188470;33530494;1408;7947
03_03_M_P12;-2151.826153;10299.85536;1210.084627;1994;30964;17454;147963;186039;33530477;1408;7950
03_03_M_P12_first_stage_corrected;-2151.826153;10299.85536;1135.129342;1994;30964;17454;147963;186039;33530477;1408;7950
03_03_M_P12_second_stage_corrected;-2144.987357;10310.10281;1114.247228;1994;30964;17454;147963;186039;33530477;1408;7950
03_03_M_P13;-3739.586841;9348.453527;1179.633889;1004;30963;17453;147956;161712;33530477;1409;7950
03_03_M_P13_first_stage_corrected;-3739.586841;9348.453527;1120.204373;1004;30963;17453;147956;161712;33530477;1409;7950
03_03_M_P13_second_stage_corrected;-3732.748046;9358.700967;1099.32226;1004;30963;17453;147956;161712;33530477;1409;7950
03_03_M_P14;-3130.200231;7339.275647;425.943803;1005;23676;8459;140767;161755;33492711;1409;7944
03_03_M_P14_first_stage_corrected;-3130.200231;7339.275647;422.5297095;1005;23676;8459;140767;161755;33492711;1409;7944
03_03_M_P14_second_stage_corrected;-3123.361435;7349.523088;401.6475956;1005;23676;8459;140767;161755;33492711;1409;7944
03_03_M_P15;-2898.981302;6078.193152;550.183183;1005;23678;4053;140693;163112;33465879;1409;7938
03_03_M_P15_first_stage_corrected;-2898.981302;6078.193152;568.0161511;1005;23678;4053;140693;163112;33465879;1409;7938
03_03_M_P15_second_stage_corrected;-2892.142506;6088.440593;547.1340372;1005;23678;4053;140693;163112;33465879;1409;7938
03_03_M_P16;-277.7293045;7440.353219;551.7916837;2252;23676;4054;140781;179593;33480228;1409;7942
03_03_M_P16_first_stage_corrected;-277.7293045;7440.353219;558.5897075;2252;23676;4054;140781;179593;33480228;1409;7942
03_03_M_P16_second_stage_corrected;-270.8905089;7450.60066;537.7075936;2252;23676;4054;140781;179593;33480228;1409;7942
03_03_M_P17;406.5502892;7774.378541;455.7042263;2724;23674;7365;141032;191742;33480341;1408;7942
03_03_M_P17_first_stage_corrected;406.5502892;7774.378541;456.1950406;2724;23674;7365;141032;191742;33480341;1408;7942
03_03_M_P17_second_stage_corrected;413.3890848;7784.625982;435.3129267;2724;23674;7365;141032;191742;33480341;1408;7942
03_03_M_P18;1557.502034;7493.130671;-393.2443624;3117;15981;7366;133713;193674;33480345;1407;7770
03_03_M_P18_first_stage_corrected;1557.502034;7493.130671;-390.226453;3117;15981;7366;133713;193674;33480345;1407;7770
03_03_M_P18_second_stage_corrected;1564.34083;7503.378112;-411.1085669;3117;15981;7366;133713;193674;33480345;1407;7770
03_03_M_P19;1705.503204;9200.928599;-468.2975117;3117;15959;7367;134049;193607;33530220;1408;7778
03_03_M_P19_first_stage_corrected;1705.503204;9200.928599;-505.8063884;3117;15959;7367;134049;193607;33530220;1408;7778
03_03_M_P19_second_stage_corrected;1712.342;9211.176039;-526.6885023;3117;15959;7367;134049;193607;33530220;1408;7778
03_03_M_P20;-455.0642707;8447.927329;-525.067195;2190;16302;10346;134392;178721;33495910;1408;7774
03_03_M_P20_first_stage_corrected;-455.0642707;8447.927329;-539.1211459;2190;16302;10346;134392;178721;33495910;1408;7774
03_03_M_P20_second_stage_corrected;-448.2254751;8458.17477;-560.0032598;2190;16302;10346;134392;178721;33495910;1408;7774
