Point;x_Encoder;y_Encoder;z_Encoder;encoder_0;encoder_1;encoder_2;encoder_3;encoder_4;encoder_5;encoder_6;encoder_7
21_01_P1;1800.909468;5998.816045;-397.060725;3341;13093;696;132381;199004;33459849;1738;7832
21_01_P2;1197.719644;6174.049466;-396.661842;3046;13094;667;132401;194733;33459853;1743;7832
21_01_P3;-70.064209;6345.127446;-419.889958;2291;13094;667;133450;179714;33459867;1741;7479
21_01_P4;-742.665705;6270.786912;-417.793124;1959;13094;667;133454;176077;33459867;1740;7480
21_01_P5;-759.135833;6336.503307;-76.718794;1959;16148;667;135338;176082;33459868;1740;7480
21_01_P6;18.954554;6422.384109;-77.460862;2357;16147;667;135320;181243;33459868;1739;7480
21_01_P7;819.299552;6393.656779;-103.967989;2841;16146;667;135796;191113;33459877;1739;7480
21_01_P8;1574.375614;6217.898705;-100.692681;3230;16146;668;135769;197579;33459877;1739;7480
21_01_P9;1610.931618;6345.593609;698.28467;3230;25478;667;146484;197579;33459877;1738;7480
21_01_P10;746.32104;6536.983614;693.985619;2804;25478;666;146510;190795;33459877;1738;7480
21_01_P11;-105.07305;6563.592379;693.280746;2326;25478;666;146549;181773;33459877;1737;7480
21_01_P12;-805.67622;6443.284992;724.115222;1915;25478;666;146096;174023;33459877;1737;7480
21_01_P13;-775.279794;6321.982591;1805.291073;1915;37083;666;157880;174023;33459879;1735;7480
21_01_P14;52.655881;6437.480678;1800.227693;2394;37083;666;157849;182413;33459879;1735;7480
21_01_P15;892.542028;6388.097204;1797.732842;2856;37082;666;157865;190408;33459879;1736;7480
21_01_P16;1316.68073;6288.802069;1801.047149;3118;37082;667;157844;196372;33459879;1736;7480
21_01_P17;1408.693532;6670.738224;1830.141455;3118;37081;4605;157826;196369;33459885;1736;7480
21_01_P18;732.906572;6805.467499;1825.848891;2752;37081;4604;157866;188553;33459886;1736;7480
21_01_P19;132.307402;6825.254447;1824.903138;2420;37080;4603;157910;181724;33459886;1735;7480
21_01_P20;-563.871877;6778.673821;1827.317861;2108;37080;4601;157917;178282;33459886;1735;7480
21_01_P21;-583.27675;6889.505497;1025.469436;2108;28965;4600;149173;178285;33459889;1735;7480
21_01_P22;13.151925;6947.942726;1024.790389;2415;28965;4600;149146;183702;33459889;1736;7480
21_01_P23;917.458232;6894.899698;1025.625115;2841;28965;4599;149117;190289;33459889;1736;7480
21_01_P24;1576.305506;6756.033296;1027.497619;3145;28965;4599;149100;195231;33459889;1736;7480
21_01_P25;1569.049454;6731.490607;333.161341;3144;22243;4598;142298;195205;33459900;1737;7480
21_01_P26;796.245703;6885.223871;330.755113;2780;22243;4598;142316;189101;33459900;1736;7480
