Point;x_Encoder;y_Encoder;z_Encoder;encoder_0;encoder_1;encoder_2;encoder_3;encoder_4;encoder_5;encoder_6;encoder_7
21_01_P27;-407.963847;6891.41395;331.198694;2205;22243;4598;142339;180311;33459900;1735;7480
21_01_P28;-773.110322;6814.94823;333.539278;1984;22242;4597;142344;175313;33459900;1735;7480
21_01_P29;-735.765985;6652.504458;-286.177539;1984;15293;4597;133696;175319;33459813;1729;7478
21_01_P30;-3.723034;6764.184146;-415.351411;2344;15280;4597;136018;180304;33459826;1731;7478
21_01_P31;1009.329635;6700.214043;-369.537526;2921;15279;4596;135193;192648;33459829;1735;7478
21_01_P32;1551.220516;6547.804183;-364.950395;3229;15279;4596;135170;199811;33459829;1735;7478
21_01_P33;1544.505741;7089.26985;-407.073321;3229;15279;4595;135254;199792;33475614;1736;7478
21_01_P34;1033.41388;7234.32902;-412.871699;2947;15280;4595;135281;193725;33475616;1736;7478
21_01_P35;-329.335913;7306.532038;-410.944125;2215;15280;4594;135225;180039;33476231;1736;7478
21_01_P36;-869.550629;7205.641667;-364.017794;1927;15280;4594;134558;175177;33476231;1736;7478
21_01_P37;-910.545371;7324.923396;75.251643;1926;20201;4593;140387;175256;33476220;1735;7478
21_01_P38;-7.490234;7449.316691;72.829937;2394;20200;4593;140360;183267;33476220;1736;7478
21_01_P39;902.493085;7403.629317;72.182325;2820;20199;4593;140360;189755;33476220;1736;7478
21_01_P40;1545.114258;7254.629699;77.260334;3169;20199;4592;140340;197219;33476220;1736;7478
21_01_P41;1551.842848;7293.399093;845.077517;3168;26485;4591;144916;197223;33476227;1736;7480
21_01_P42;929.114716;7440.418941;840.87776;2828;26485;4591;144957;189804;33476227;1736;7480
21_01_P43;-167.348516;7485.091547;838.576969;2332;26485;4591;144987;182740;33476227;1736;7480
21_01_P44;-784.329596;7395.564156;837.90769;2000;26484;4591;144992;176607;33476227;1736;7480
21_01_P45;-780.149797;7365.03811;1445.97868;2000;33908;4590;154849;176610;33476233;1735;7480
21_01_P46;-84.769199;7458.551204;1443.489374;2376;33908;4589;154805;183556;33476233;1735;7480
21_01_P47;741.207899;7430.509215;1444.671244;2756;33907;4589;154770;189090;33476233;1736;7480
21_01_P48;1455.586874;7302.897499;1447.575552;3088;33907;4589;154751;194494;33476233;1736;7480
21_01_P49;1505.0501;7520.410817;1446.601052;3088;33906;6817;154751;194491;33476240;1736;7480
21_01_P50;950.815367;7632.097095;1442.133947;2801;33906;6816;154785;188374;33476241;1736;7480
21_01_P51;-23.9586;7672.507276;1469.322237;2378;33905;6815;154415;182438;33476241;1735;7480
21_01_P52;-615.734265;7621.210648;1470.941868;2115;33905;6814;154428;178820;33476241;1735;7480
21_01_P53;-623.391387;7667.537169;987.146278;2115;29243;6815;149414;178823;33476243;1735;7480
21_01_P54;62.272458;7723.612431;986.404391;2424;29243;6814;149391;183337;33476243;1735;7480
21_01_P55;810.992447;7687.882298;989.033696;2801;29242;6813;149348;190640;33476243;1735;7480
21_01_P56;1493.933982;7557.584041;991.852592;3105;29242;6813;149334;195721;33476243;1735;7480
21_01_P57;1496.870525;7539.191135;360.513561;3105;23397;6812;143381;195624;33476244;1735;7480
21_01_P58;678.827089;7684.9544;356.117222;2737;23396;6812;143412;189436;33476244;1735;7480
21_01_P59;-63.190999;7703.760775;354.006852;2379;23396;6809;143449;183098;33476244;1735;7480
21_01_P60;-665.315009;7623.166016;360.322664;2095;23396;6599;143461;178630;33476247;1734;7480
21_01_P61;-629.806427;7430.72941;-562.416985;2095;14547;6600;134305;178648;33476248;1728;7476
21_01_P62;43.505226;7480.85429;-565.602095;2381;14546;6600;134300;181732;33476250;1718;7476
21_01_P63;909.108489;7424.687095;-508.290594;2887;14545;6600;133532;193013;33476264;1732;7472
21_01_P64;1847.069703;7181.533054;-503.648126;3321;14544;6600;133499;200451;33476263;1732;7472
