Point;x_TS;y_TS;z_TS
03_03_P64;1002.451;1982.751;101.894
03_03_P63;1002.399;1982.485;101.929
03_03_P62;1002.292;1981.936;101.992
03_03_P61;1002.254;1980.869;101.91
03_03_P60;1002.714;1980.782;101.857
03_03_P59;1002.76;1981.955;101.96
03_03_P58;1002.804;1982.422;101.908
03_03_P57;1002.862;1982.955;101.84
03_03_P56;1003.614;1982.915;101.82
03_03_P55;1003.637;1982.548;101.865
03_03_P54;1003.654;1982.191;101.907
03_03_P53;1003.634;1981.302;101.833
03_03_P52;1004.352;1981.342;101.832
03_03_P51;1004.354;1982.185;101.903
03_03_P50;1004.294;1982.509;101.867
03_03_P49;1004.224;1982.88;101.821
03_03_P48;1004.232;1982.721;100.972
03_03_P47;1004.287;1982.431;100.949
03_03_P46;1004.371;1981.966;100.908
03_03_P45;1004.367;1981.01;100.8
03_03_P44;1003.751;1980.958;100.817
03_03_P43;1003.795;1981.893;100.922
03_03_P42;1003.768;1982.214;100.95
03_03_P41;1003.728;1982.645;100.983
03_03_P40;1002.832;1982.672;101.006
03_03_P39;1002.794;1982.298;100.979
03_03_P38;1002.753;1981.941;100.951
03_03_P37;1002.718;1981.186;100.868
03_03_P36;1002.27;1981.275;100.886
03_03_P35;1002.29;1982.098;100.975
03_03_P34;1002.37;1982.48;101.001
03_03_P33;1002.451;1982.856;101.03
03_03_P32;1002.436;1982.865;100.361
03_03_P31;1002.369;1982.546;100.275
03_03_P30;1002.299;1982.237;100.188
03_03_P29;1002.281;1981.509;100.139
03_03_P28;1002.827;1981.412;100.122
03_03_P27;1002.851;1982.098;100.17
03_03_P26;1002.883;1982.412;100.258
03_03_P25;1002.911;1982.704;100.335
03_03_P24;1003.823;1982.685;100.31
03_03_P23;1003.858;1982.329;100.212
03_03_P22;1003.884;1982.011;100.122
03_03_P21;1003.877;1981.136;100.059
03_03_P20;1004.394;1981.218;100.045
03_03_P19;1004.42;1982.085;100.108
03_03_P18;1004.367;1982.346;100.186
03_03_P17;1004.277;1982.772;100.305
03_03_P16;1004.247;1982.844;99.875
03_03_P15;1004.315;1982.524;99.743
03_03_P14;1004.376;1982.217;99.615
03_03_P13;1004.35;1981.439;99.486
03_03_P12;1003.816;1981.361;99.502
03_03_P11;1003.833;1982.176;99.54
03_03_P10;1003.808;1982.452;99.651
03_03_P9;1003.773;1982.814;99.793
03_03_P8;1003.278;1982.815;99.856
03_03_P7;1003.252;1982.371;99.681
03_03_P6;1003.241;1982.236;99.627
03_03_P5;1003.261;1981.448;99.559
03_03_P4;1002.875;1981.492;99.571
03_03_P3;1002.834;1982.271;99.637
03_03_P2;1002.881;1982.619;99.776
03_03_P1;1002.918;1982.841;99.862
