Points;x_TS;y_TS;z_TS;x_Encoder;y_Encoder;z_Encoder;delta_x;delta_y;delta_z;Norm
06_12_24_G73_P38;-138.3889601;5247.846286;4173.122157;-171.8982188;5243.02572;4162.445591;33.50925869;4.820565269;10.67656638;35.49784976
06_12_24_G73_P39;-1329.433374;5099.667124;3822.21073;-1358.354594;5089.91321;3809.454332;28.92121967;9.75391426;12.75639778;33.08022786
06_12_24_G73_P40;-2263.820829;4753.793862;3630.169829;-2287.393161;4738.363018;3623.162078;23.57233198;15.43084481;7.00775102;29.03229893
06_12_24_G73_P41;-3362.551576;3978.812613;3626.409753;-3382.175474;3956.652452;3622.032086;19.62389808;22.16016151;4.377666632;29.92213393
06_12_24_G73_P42;-3854.315029;3623.002294;3345.92962;-3871.133395;3599.410819;3340.652331;16.8183668;23.59147562;5.2772891;29.44936271
06_12_24_G73_P43;-3024.548536;4162.207129;3819.0683;-3048.110441;4138.593604;3813.351115;23.56190471;23.61352581;5.717185385;33.8444702
06_12_24_G73_P44;-1590.386358;4576.264403;4636.965884;-1617.557699;4560.477717;4631.844027;27.17134009;15.78668631;5.121856974;31.8391992
06_12_24_G73_P45;-871.2824714;4810.310979;4690.046235;-899.6684884;4800.020755;4682.521581;28.38601697;10.29022333;7.524654001;31.11711865
06_12_24_G73_P46;-335.0837339;4798.705062;4922.722492;-365.41107;4790.309812;4916.659806;30.32733612;8.395249875;6.062685495;32.04658628
06_12_24_G73_P47;145.2187202;4740.110442;5123.31222;114.3557282;4733.309469;5118.931357;30.86299199;6.800973082;4.38086269;31.90563379
06_12_24_G73_P48;788.625658;4723.194037;5196.984742;752.6029152;4722.459123;5188.929917;36.02274282;0.734913628;8.054825412;36.91961959
06_12_24_G73_P49;1209.685881;4617.173934;5329.295769;1174.508465;4617.333111;5324.665793;35.17741558;-0.159176611;4.629976159;35.48115814
06_12_24_G73_P50;1998.122823;4356.853025;5496.669011;1962.399187;4361.670453;5492.254026;35.72363595;-4.817428296;4.414984454;36.31635814
06_12_24_G73_P51;2307.795835;4275.51016;5489.916092;2271.83027;4281.783008;5486.220693;35.96556525;-6.272848453;3.69539879;36.69504713
06_12_24_G73_P52;1413.222538;3516.307491;6451.225504;1379.878757;3519.012802;6448.415117;33.34378112;-2.705310957;2.810386918;33.57118886
06_12_24_G73_P53;962.4095766;3791.942629;6252.348577;929.9977982;3791.97685;6248.268293;32.41177834;-0.034221334;4.080284329;32.66761801
06_12_24_G73_P54;451.4088243;3688.770284;6336.063979;419.5474212;3684.368561;6332.854749;31.86140311;4.401723775;3.20922968;32.32372713
06_12_24_G73_P55;-264.4279564;3726.852124;6203.596975;-293.3359436;3718.189126;6202.063016;28.90798728;8.662998363;1.53395941;30.21708624
06_12_24_G73_P56;-716.3517087;3688.261387;6120.087597;-742.9835414;3677.498957;6118.144317;26.63183264;10.76242991;1.94328033;28.78994175
06_12_24_G73_P57;-1118.399863;3628.114949;6031.488673;-1143.821082;3614.608115;6029.90029;25.42121849;13.50683305;1.588383027;28.83046738
06_12_24_G73_P58;-1673.599902;3495.039764;5892.647104;-1695.378915;3479.139098;5893.016755;21.779013;15.90066573;-0.369650677;26.96837443
06_12_24_G73_P59;-1753.352334;2610.648244;6507.679661;-1768.869003;2589.182157;6514.608139;15.51666886;21.46608748;-6.928477964;27.37816158
06_12_24_G73_P60;-1391.329124;2924.151386;6467.698803;-1408.046942;2906.049914;6473.470994;16.71781733;18.10147268;-5.772190861;25.30744786
06_12_24_G73_P61;-917.3932663;3081.730932;6536.960309;-939.012632;3065.840289;6538.700222;21.6193657;15.89064341;-1.739913917;26.88748448
06_12_24_G73_P62;-259.5193836;3079.351134;6707.495068;-287.0664827;3066.614955;6708.012414;27.54709908;12.73617844;-0.517346693;30.35326271
06_12_24_G73_P63;382.0638342;2951.747048;6876.184764;350.7900783;2943.508991;6876.288762;31.27375581;8.238056144;-0.103998432;32.34075118
06_12_24_G73_P64;1102.006107;2884.058774;6927.441324;1071.746801;2881.309599;6928.72577;30.25930599;2.749175274;-1.284445221;30.41107304
06_12_24_G73_P65;1497.995377;2615.301355;7049.56728;1468.801527;2615.260643;7054.20285;29.19384975;0.040711556;-4.635569051;29.55961808
