Points;x_TS;y_TS;z_TS
25_02_P100;1005.805;1980.928;101.392
25_02_P99;1002.605;1980.598;101.477
25_02_P98;1003.863;1980.772;100.644
25_02_P97;1002.339;1981.849;100.686
25_02_P96;1000.984;1982.208;99.385
25_02_P95;1000.963;1980.903;99.353
25_02_P94;1001.208;1979.164;99.035
25_02_P93;1001.144;1980.406;99.218
25_02_P92;1002.073;1980.368;99.196
25_02_P91;1002.809;1980.587;99.465
25_02_P90;1003.183;1982.01;99.301
25_02_P89;1003.889;1980.782;99.201
25_02_P88;1003.666;1981.403;99.319
25_02_P87;1004.096;1979.319;99.057
25_02_P86;1005.915;1979.693;98.995
25_02_P85;1005.724;1980.063;99.201
25_02_P84;1006.598;1983.068;99.327
25_02_P83;1007.18;1980.234;100.21
25_02_P82;1006.205;1982.452;100.548
25_02_P81;1004.619;1980.069;100.431
25_02_P80;1004.539;1981.119;100.462
25_02_P79;1003.477;1981.065;100.406
25_02_P78;1003.483;1982.327;100.573
25_02_P77;1002.669;1982.506;100.563
25_02_P76;1002.473;1981.164;100.323
25_02_P75;1001.992;1978.558;100.083
25_02_P74;1002.123;1981.667;100.389
25_02_P73;1001.36;1981.979;100.397
25_02_P72;1001.578;1981.433;100.327
25_02_P71;1001.669;1980.448;101.181
25_02_P70;1002.795;1981.361;101.489
25_02_P69;1002.647;1978.481;101.38
25_02_P68;1003.173;1978.41;101.372
25_02_P67;1003.967;1981.008;101.674
25_02_P66;1003.888;1982.627;101.644
25_02_P65;1004.495;1982.68;101.629
25_02_P64;1004.629;1981.757;101.645
25_02_P63;1006.985;1979.789;101.574
25_02_P62;1005.339;1980.666;101.576
25_02_P61;1006.102;1980.866;101.546
25_02_P60;1005.744;1981.754;101.563
25_02_P59;1005.969;1983.155;101.521
25_02_P58;1007.735;1979.992;101.467
25_02_P57;1007.589;1982.638;101.346
25_02_P56;1007.64;1981.897;102.806
25_02_P55;1007.092;1982.588;102.573
25_02_P54;1007.576;1981.31;101.546
25_02_P53;1006.256;1983.815;102.631
25_02_P52;1004.948;1983.483;102.634
25_02_P51;1006.422;1981.004;103.159
25_02_P50;1006.245;1982.112;103.127
25_02_P49;1005.152;1981.839;103.324
25_02_P48;1004.775;1983.079;102.903
25_02_P47;1004.588;1979.716;103.255
25_02_P46;1004.548;1981.114;103.175
25_02_P45;1003.864;1981.248;103.145
25_02_P44;1003.854;1982.097;103.076
25_02_P43;1003.26;1982.131;103.086
25_02_P42;1003.319;1982.785;102.893
25_02_P41;1001.685;1982.629;102.915
25_02_P40;1002.193;1979.609;103.166
25_02_P39;1002.372;1980.345;102.973
25_02_P38;1001.632;1981.986;102.959
25_02_P37;1001.85;1982.541;102.779
25_02_P36;1001.169;1982.937;102.773
25_02_P35;1000.299;1980.54;103.188
25_02_P34;1000.785;1982.274;102.753
25_02_P33;1000.796;1983.848;102.729
25_02_P32;1001.346;1983.118;104.192
25_02_P31;1001.393;1984.812;104.08
25_02_P30;1000.379;1981.415;105.072
25_02_P29;1001.864;1981.24;104.702
25_02_P28;1001.763;1983.305;104.748
25_02_P27;1003.647;1982.713;104.724
25_02_P26;1003.665;1981.903;104.473
25_02_P25;1005.152;1983.638;104.022
25_02_P24;1005.696;1981.44;104.67
25_02_P23;1006.71;1981.203;104.447
25_02_P22;1006.443;1981.896;103.872
25_02_P21;1005.904;1983.345;103.985
25_02_P20;1006.228;1982.442;102.843
25_02_P19;1006.814;1980.949;103.145
25_02_P18;1005.276;1979.534;103.135
25_02_P17;1005.02;1981.695;102.975
25_02_P16;1004.84;1982.288;102.764
25_02_P15;1004.683;1982.852;102.912
25_02_P14;1004.896;1981.639;103.103
25_02_P13;1005.304;1980.476;103.049
25_02_P12;1004.385;1980.232;103.086
25_02_P11;1004.327;1981.725;102.955
25_02_P10;1003.795;1980.018;101.823
25_02_P9;1003.814;1980.105;103.062
25_02_P8;1003.722;1983.096;102.846
25_02_P7;1003.263;1983.158;102.841
25_02_P6;1003.193;1980.291;103.305
25_02_P5;1003.245;1981.661;103.066
25_02_P4;1002.515;1981.839;103.077
25_02_P3;1002.318;1980.143;103.373
25_02_P2;1001.64;1981.544;103.056
25_02_P1;1001.63;1983.748;102.828
