Points;x;y;z
01_02_P1055;1002.049;1982.448;100.015
01_02_P1054;1001.969;1981.687;100
01_02_P1053;1001.804;1981.256;99.986
01_02_P1052;1001.686;1980.431;99.949
01_02_P1051;1001.131;1979.638;99.898
01_02_P1050;1001.012;1979.171;99.715
01_02_P1049;1001.481;1979.894;99.764
01_02_P1048;1001.557;1980.371;99.791
01_02_P1047;1001.701;1981.281;99.828
01_02_P1046;1001.804;1981.936;99.843
01_02_P1045;1001.637;1981.391;99.649
01_02_P1044;1001.553;1980.856;99.633
01_02_P1043;1001.316;1980.138;99.603
01_02_P1042;1000.837;1979.955;99.592
01_02_P1041;1000.596;1979.202;99.542
01_02_P1040;1000.624;1978.972;99.492
01_02_P1039;1000.665;1979.539;99.54
01_02_P1038;1000.723;1980.336;99.594
01_02_P1037;1000.781;1981.156;99.633
01_02_P1036;1000.818;1981.672;99.649
01_02_P1035;1001.033;1982.099;99.801
01_02_P1034;1000.996;1981.57;99.784
01_02_P1033;1000.943;1980.873;99.753
01_02_P1032;1000.884;1980.103;99.706
01_02_P1031;1000.831;1979.399;99.657
01_02_P1030;1001.062;1979.902;99.895
01_02_P1029;1001.116;1980.587;99.939
01_02_P1028;1001.166;1981.225;99.97
01_02_P1027;1001.236;1982.099;99.998
01_02_P1026;1001.29;1982.789;100.009
01_02_P1025;1001.545;1983.304;100.195
01_02_P1024;1001.494;1982.681;100.187
01_02_P1023;1001.44;1982.017;100.171
01_02_P1022;1001.379;1981.21;100.13
01_02_P1021;1001.318;1980.436;100.094
01_02_P1020;1000.695;1980.726;100.107
01_02_P1019;1000.77;1981.365;100.141
01_02_P1018;1000.854;1982.078;100.171
01_02_P1017;1000.952;1982.933;100.192
01_02_P1016;1001.021;1983.539;100.196
01_02_P1015;1000.708;1983.056;100.005
01_02_P1014;1000.649;1982.525;99.995
01_02_P1013;1000.585;1981.964;99.978
01_02_P1012;1000.473;1980.97;99.932
01_02_P1011;1000.388;1980.203;99.888
01_02_P1010;1000.133;1979.765;99.681
01_02_P1009;1000.187;1980.268;99.721
01_02_P1008;1000.279;1981.125;99.773
01_02_P1007;1000.375;1982.054;99.814
01_02_P1006;1000.437;1982.642;99.829
01_02_P1005;1000.185;1982.26;99.674
01_02_P1004;1000.124;1981.668;99.658
01_02_P1003;1000.041;1980.932;99.619
01_02_P1002;999.957;1980.138;99.565
01_02_P1001;999.875;1979.365;99.502
01_02_P1000;1000.809;1980.727;99.638
01_02_P999;1000.868;1981.266;99.676
01_02_P998;1000.948;1982.002;99.716
01_02_P997;1001.054;1982.993;99.751
01_02_P996;1001.126;1983.684;99.762
01_02_P995;1000.826;1983.22;99.512
01_02_P994;1000.758;1982.555;99.495
01_02_P993;1000.681;1981.824;99.463
01_02_P992;1000.602;1981.071;99.418
01_02_P991;1000.522;1980.309;99.367
01_02_P990;1000.278;1979.844;99.1
01_02_P989;1000.334;1980.404;99.15
01_02_P988;1000.411;1981.151;99.212
01_02_P987;1000.484;1981.909;99.254
01_02_P986;1000.57;1982.822;99.278
01_02_P985;1000.321;1982.425;99.066
01_02_P984;1000.252;1981.723;99.046
01_02_P983;1000.19;1981.092;99.02
01_02_P982;1000.104;1980.238;98.959
01_02_P981;1000.021;1979.456;98.858
01_02_P980;1000.736;1980.544;99.627
01_02_P979;1000.842;1981.083;99.664
01_02_P978;1000.994;1981.858;99.708
01_02_P977;1001.16;1982.714;99.739
01_02_P976;1001.284;1983.362;99.75
01_02_P975;1001.034;1982.874;99.503
01_02_P974;1000.945;1982.411;99.491
01_02_P973;1000.805;1981.673;99.462
01_02_P972;1000.626;1980.738;99.404
01_02_P971;1000.502;1980.093;99.36
01_02_P970;1000.321;1979.699;99.137
01_02_P969;1000.466;1980.468;99.202
01_02_P968;1000.601;1981.184;99.253
