Points;x;y;z
01_02_P545;1001.434;1980.823;102.743
01_02_P544;1001.494;1981.25;102.762
01_02_P543;1001.634;1982.278;102.795
01_02_P542;1001.736;1983.032;102.807
01_02_P541;1001.822;1983.675;102.811
01_02_P540;1002.453;1983.496;102.799
01_02_P539;1002.385;1982.978;102.794
01_02_P538;1002.281;1982.204;102.78
01_02_P537;1002.173;1981.397;102.755
01_02_P536;1002.074;1980.648;102.726
01_02_P535;1001.974;1979.996;102.948
01_02_P534;1002.043;1980.5;102.974
01_02_P533;1002.147;1981.279;103.006
01_02_P532;1002.271;1982.218;103.031
01_02_P531;1002.359;1982.893;103.04
01_02_P530;1002.286;1982.441;103.199
01_02_P529;1002.216;1981.919;103.187
01_02_P528;1002.128;1981.262;103.167
01_02_P527;1002.044;1980.635;103.141
01_02_P526;1001.959;1980.002;103.11
01_02_P525;1001.882;1979.624;103.25
01_02_P524;1001.888;1979.67;103.254
01_02_P523;1001.984;1980.368;103.29
01_02_P522;1002.12;1981.364;103.328
01_02_P521;1002.21;1982.039;103.343
01_02_P520;1003.211;1981.32;103.309
01_02_P519;1003.2;1980.704;103.288
01_02_P518;1003.188;1979.983;103.255
01_02_P517;1003.173;1979.227;103.216
01_02_P516;1003.22;1981.926;103.327
01_02_P515;1003.226;1982.394;103.156
01_02_P514;1003.219;1981.914;103.146
01_02_P513;1003.208;1981.247;103.126
01_02_P512;1003.189;1980.243;103.083
01_02_P511;1003.177;1979.501;103.045
01_02_P510;1003.201;1979.993;102.89
01_02_P509;1003.21;1980.604;102.921
01_02_P508;1003.221;1981.326;102.95
01_02_P507;1003.234;1982.239;102.975
01_02_P506;1003.24;1982.861;102.984
01_02_P505;1003.25;1983.425;102.777
01_02_P504;1003.243;1982.852;102.771
01_02_P503;1003.235;1982.303;102.762
01_02_P502;1003.221;1981.354;102.734
01_02_P501;1003.21;1980.533;102.702
01_02_P500;1004.537;1980.576;102.676
01_02_P499;1004.437;1981.308;102.71
01_02_P498;1004.333;1982.065;102.736
01_02_P497;1004.215;1982.924;102.755
01_02_P496;1004.14;1983.455;102.76
01_02_P495;1004.216;1982.896;102.963
01_02_P494;1004.288;1982.381;102.953
01_02_P493;1004.39;1981.639;102.932
01_02_P492;1004.494;1980.887;102.902
01_02_P491;1004.597;1980.146;102.866
01_02_P490;1004.656;1979.699;103.013
01_02_P489;1004.562;1980.391;103.052
01_02_P488;1004.467;1981.091;103.084
01_02_P487;1004.358;1981.886;103.11
01_02_P486;1004.277;1982.461;103.123
01_02_P485;1004.345;1981.885;103.328
01_02_P484;1004.415;1981.367;103.314
01_02_P483;1004.501;1980.717;103.289
01_02_P482;1004.618;1979.841;103.245
01_02_P481;1004.724;1979.056;103.197
01_02_P480;1005.849;1979.251;103.174
01_02_P479;1005.689;1980.037;103.226
01_02_P478;1005.531;1980.814;103.267
01_02_P477;1005.398;1981.462;103.294
01_02_P476;1005.277;1982.044;103.311
01_02_P475;1005.15;1982.483;103.142
01_02_P474;1005.292;1981.785;103.122
01_02_P473;1005.432;1981.094;103.094
01_02_P472;1005.589;1980.322;103.054
01_02_P471;1005.732;1979.621;103.012
01_02_P470;1005.591;1980.157;102.845
01_02_P469;1005.456;1980.812;102.882
01_02_P468;1005.3;1981.572;102.916
01_02_P467;1005.124;1982.422;102.943
01_02_P466;1004.997;1983.025;102.956
01_02_P465;1004.834;1983.592;102.743
01_02_P464;1004.972;1982.931;102.733
01_02_P463;1005.1;1982.314;102.717
01_02_P462;1005.273;1981.473;102.687
01_02_P461;1005.433;1980.706;102.653
01_02_P460;1005.602;1980.792;102.643
01_02_P459;1005.488;1981.513;102.677
01_02_P458;1005.402;1982.061;102.698
01_02_P457;1005.225;1983.164;102.726
01_02_P456;1005.137;1983.71;102.733
01_02_P455;1005.348;1983.198;102.928
01_02_P454;1005.459;1982.5;102.913
01_02_P453;1005.557;1981.888;102.894
01_02_P452;1005.695;1981.025;102.857
01_02_P451;1005.808;1980.328;102.818
01_02_P450;1006.033;1979.769;103.004
01_02_P449;1005.921;1980.479;103.051
01_02_P448;1005.783;1981.35;103.095
01_02_P447;1005.657;1982.141;103.123
01_02_P446;1005.579;1982.629;103.135
01_02_P445;1005.73;1982.237;103.287
01_02_P444;1005.841;1981.491;103.262
01_02_P443;1005.942;1980.812;103.232
01_02_P442;1006.05;1980.104;103.193
01_02_P441;1006.17;1979.317;103.142
01_02_P440;1007.359;1979.775;103.11
01_02_P439;1007.192;1980.502;103.162
01_02_P438;1007.017;1981.259;103.209
01_02_P437;1006.836;1982.044;103.245
01_02_P436;1006.694;1982.653;103.264
01_02_P435;1006.504;1982.962;103.133
01_02_P434;1006.664;1982.269;103.111
01_02_P433;1006.831;1981.544;103.079
01_02_P432;1006.98;1980.901;103.044
01_02_P431;1007.149;1980.174;102.998
01_02_P430;1006.84;1980.686;102.816
01_02_P429;1006.527;1982.025;102.888
01_02_P428;1006.527;1982.025;102.888
01_02_P427;1006.338;1982.836;102.916
01_02_P426;1006.185;1983.481;102.932
01_02_P425;1005.872;1983.995;102.719
01_02_P424;1005.988;1983.499;102.711
01_02_P423;1006.151;1982.796;102.694
01_02_P422;1006.336;1982.005;102.664
01_02_P421;1006.539;1981.142;102.624
01_02_P420;1007.617;1981.709;102.592
01_02_P419;1007.374;1982.437;102.632
01_02_P418;1007.125;1983.184;102.664
01_02_P417;1006.908;1983.833;102.684
01_02_P416;1006.693;1984.474;102.696
01_02_P415;1007.076;1984.067;102.915
01_02_P414;1007.246;1983.56;102.906
01_02_P413;1007.487;1982.837;102.887
01_02_P412;1007.739;1982.078;102.856
01_02_P411;1008.014;1981.27;102.815
01_02_P410;1008.403;1980.843;102.995
01_02_P409;1008.154;1981.594;103.04
01_02_P408;1007.946;1982.26;102.858
01_02_P407;1007.69;1983.036;102.931
01_02_P406;1007.498;1983.609;102.978
01_02_P405;1007.76;1983.314;103.319
01_02_P404;1007.999;1982.584;103.318
01_02_P403;1008.182;1982.032;103.312
01_02_P402;1008.421;1981.311;103.293
01_02_P401;1008.681;1980.538;103.264
01_02_P400;1008.003;1981.348;104.383
01_02_P399;1007.749;1982.093;104.469
01_02_P398;1007.525;1982.758;104.538
01_02_P397;1007.26;1983.549;104.608
01_02_P396;1007.075;1984.104;104.65
01_02_P395;1006.839;1984.355;104.371
01_02_P394;1007.008;1983.844;104.333
01_02_P393;1007.247;1983.126;104.274
01_02_P392;1007.501;1982.37;104.199
01_02_P391;1007.759;1981.602;104.118
01_02_P390;1007.436;1981.957;103.763
01_02_P389;1007.22;1982.591;103.831
01_02_P388;1006.98;1983.298;103.897
01_02_P387;1006.709;1984.107;103.96
01_02_P386;1006.498;1984.729;104.003
01_02_P385;1006.165;1985.076;103.623
01_02_P384;1006.364;1984.479;103.586
01_02_P383;1006.569;1983.861;103.543
01_02_P382;1006.868;1982.969;103.468
01_02_P381;1007.099;1982.279;103.404
01_02_P380;1006.183;1981.775;103.422
01_02_P379;1005.992;1982.472;103.488
01_02_P378;1005.812;1983.134;103.543
01_02_P377;1005.591;1983.941;103.6
01_02_P376;1005.401;1984.628;103.641
01_02_P375;1005.621;1984.241;103.993
01_02_P374;1005.773;1983.693;103.956
01_02_P373;1005.94;1983.086;103.91
01_02_P372;1006.161;1982.283;103.84
01_02_P371;1006.396;1981.439;103.757
01_02_P370;1006.624;1981.014;104.117
01_02_P369;1006.427;1981.734;104.195
01_02_P368;1006.242;1982.417;104.261
01_02_P367;1006.014;1983.253;104.33
01_02_P366;1005.847;1983.846;104.482
01_02_P365;1006.023;1983.513;104.785
01_02_P364;1006.173;1982.955;104.772
01_02_P363;1006.355;1982.283;104.75
01_02_P362;1006.586;1981.431;104.711
01_02_P361;1006.781;1980.718;104.672
01_02_P360;1005.735;1980.382;104.701
01_02_P359;1005.632;1980.978;104.735
01_02_P358;1005.504;1981.721;104.769
01_02_P357;1005.367;1982.517;104.794
01_02_P356;1005.242;1983.228;104.808
01_02_P355;1005.111;1983.573;104.506
01_02_P354;1005.189;1983.129;104.498
01_02_P353;1005.294;1982.519;104.484
01_02_P352;1005.466;1981.526;104.448
01_02_P351;1005.587;1980.83;104.416
01_02_P350;1005.442;1981.252;104.085
01_02_P349;1005.31;1982.004;104.118
01_02_P348;1005.21;1982.571;104.136
01_02_P347;1005.091;1983.252;104.151
01_02_P346;1004.964;1983.956;104.16
01_02_P345;1004.8;1984.393;103.784
01_02_P344;1004.871;1983.978;103.781
01_02_P343;1004.964;1983.451;103.774
01_02_P342;1005.132;1982.488;103.751
01_02_P341;1005.282;1981.636;103.721
01_02_P340;1005.038;1981.104;104.085
01_02_P339;1004.907;1981.845;104.116
01_02_P338;1004.774;1982.595;104.138
01_02_P337;1004.65;1983.294;104.152
01_02_P336;1004.544;1983.886;104.156
01_02_P335;1004.735;1983.058;104.834
01_02_P334;1004.818;1982.586;104.825
01_02_P333;1004.9;1982.114;104.812
01_02_P332;1005.073;1981.118;104.774
01_02_P331;1005.218;1980.283;104.733
01_02_P330;1005.14;1980.66;104.429
01_02_P329;1005.02;1981.354;104.463
01_02_P328;1004.924;1981.907;104.485
01_02_P327;1004.769;1982.797;104.51
01_02_P326;1004.651;1983.456;104.52
01_02_P325;1004.742;1983.044;104.866
01_02_P324;1004.837;1982.509;104.855
01_02_P323;1004.907;1982.114;105.14
01_02_P322;1005.07;1981.18;105.192
01_02_P321;1005.213;1980.366;105.229
01_02_P320;1004.29;1980.253;105.252
01_02_P319;1004.227;1980.818;105.229
01_02_P318;1004.149;1981.504;105.194
01_02_P317;1004.049;1982.381;105.138
01_02_P316;1003.976;1983.005;105.09
01_02_P315;1003.944;1983.332;104.818
01_02_P314;1004.02;1982.67;104.869
01_02_P313;1004.079;1982.153;104.905
01_02_P312;1004.178;1981.267;104.957
01_02_P311;1004.272;1980.449;104.997
01_02_P310;1004.244;1981.014;104.575
01_02_P309;1004.168;1981.67;104.542
01_02_P308;1004.079;1982.426;104.495
01_02_P307;1003.981;1983.258;104.432
01_02_P306;1003.906;1983.877;104.379
01_02_P305;1003.861;1984.339;104
01_02_P304;1003.913;1983.914;104.039
01_02_P303;1003.988;1983.279;104.093
01_02_P302;1004.103;1982.32;104.163
01_02_P301;1004.204;1981.475;104.216
01_02_P300;1003.066;1981.472;104.237
01_02_P299;1003.081;1982.024;104.203
01_02_P298;1003.102;1982.81;104.148
01_02_P297;1003.125;1983.714;104.073
01_02_P296;1003.141;1984.367;104.011
01_02_P295;1003.12;1983.907;104.385
01_02_P294;1003.109;1983.44;104.425
01_02_P293;1003.089;1982.622;104.49
01_02_P292;1003.068;1981.811;104.543
01_02_P291;1003.05;1981.021;104.588
01_02_P290;1003.022;1980.59;104.914
01_02_P289;1003.037;1981.099;104.892
01_02_P288;1003.054;1981.717;104.857
01_02_P287;1003.079;1982.629;104.795
01_02_P286;1003.099;1983.47;104.726
01_02_P285;1003.065;1982.99;105.118
01_02_P284;1003.046;1982.267;105.174
01_02_P283;1003.024;1981.52;105.223
01_02_P282;1003.006;1980.872;105.259
01_02_P281;1002.984;1980.116;105.296
01_02_P280;1002.02;1980.243;105.312
01_02_P279;1002.103;1981.007;105.278
01_02_P278;1002.149;1981.424;105.256
01_02_P277;1002.235;1982.202;105.205
01_02_P276;1002.334;1983.12;105.133
01_02_P275;1002.413;1983.548;104.769
01_02_P274;1002.346;1982.93;104.819
01_02_P273;1002.269;1982.242;104.87
01_02_P272;1002.177;1981.408;104.92
01_02_P271;1002.095;1980.649;104.96
01_02_P270;1002.202;1981.107;104.613
01_02_P269;1002.264;1981.693;104.581
01_02_P268;1002.34;1982.402;104.536
01_02_P267;1002.425;1983.205;104.473
01_02_P266;1002.505;1983.976;104.404
01_02_P265;1002.592;1984.458;104
01_02_P264;1002.545;1984.007;104.044
01_02_P263;1002.463;1983.232;104.111
01_02_P262;1002.374;1982.403;104.173
01_02_P261;1002.288;1981.582;104.228
01_02_P260;1001.891;1981.736;104.223
01_02_P259;1001.959;1982.533;104.175
01_02_P258;1002.003;1983.053;104.138
01_02_P257;1002.074;1983.884;104.071
01_02_P256;1002.136;1984.633;104.001
01_02_P255;1001.959;1984.153;104.421
01_02_P254;1001.904;1983.497;104.476
01_02_P253;1001.858;1982.955;104.517
01_02_P252;1001.783;1982.09;104.572
01_02_P251;1001.71;1981.229;104.618
01_02_P250;1001.567;1980.862;104.91
01_02_P249;1001.621;1981.471;104.884
01_02_P248;1001.688;1982.225;104.845
01_02_P247;1001.769;1983.169;104.779
01_02_P246;1001.823;1983.794;104.729
01_02_P245;1001.65;1983.339;105.129
01_02_P244;1001.605;1982.809;105.168
01_02_P243;1001.565;1982.342;105.199
01_02_P242;1001.479;1981.396;105.252
01_02_P241;1001.391;1980.428;105.294
01_02_P240;1000.619;1980.842;105.273
01_02_P239;1000.67;1981.392;105.258
01_02_P238;1000.729;1982.054;105.232
01_02_P237;1000.801;1982.844;105.192
01_02_P236;1000.882;1983.77;105.131
01_02_P235;1001.14;1984.196;104.714
01_02_P234;1001.093;1983.657;104.752
01_02_P233;1001.032;1982.99;104.793
01_02_P232;1000.955;1982.174;104.834
01_02_P231;1000.865;1981.237;104.87
01_02_P230;1001.104;1981.572;104.584
01_02_P229;1001.16;1982.213;104.556
01_02_P228;1001.217;1982.867;104.522
01_02_P227;1001.289;1983.706;104.467
01_02_P226;1001.359;1984.534;104.4
01_02_P225;1001.578;1984.92;104.024
01_02_P224;1001.528;1984.392;104.069
01_02_P223;1001.475;1983.845;104.113
01_02_P222;1001.383;1982.926;104.175
01_02_P221;1001.293;1982.014;104.227
01_02_P220;1000.746;1982.373;104.199
01_02_P219;1000.821;1982.955;104.173
01_02_P218;1000.89;1983.506;104.142
01_02_P217;1001.013;1984.476;104.078
01_02_P216;1001.231;1985.2;104.01
01_02_P215;1000.938;1984.878;104.371
01_02_P214;1000.896;1984.192;104.416
01_02_P213;1000.857;1983.599;104.449
01_02_P212;1000.811;1982.923;104.48
01_02_P211;1000.748;1982.002;104.513
01_02_P210;1000.556;1981.69;104.807
01_02_P209;1000.592;1982.274;104.799
01_02_P208;1000.638;1983.156;104.771
01_02_P207;1000.675;1983.935;104.734
01_02_P206;1000.702;1984.568;104.696
01_02_P205;1000.537;1984.297;104.985
01_02_P204;1000.533;1983.792;105.009
01_02_P203;1000.523;1983.086;105.036
01_02_P202;1000.502;1982.045;105.062
01_02_P201;1000.49;1981.389;105.07
01_02_P200;1001.341;1982.763;104.424
01_02_P199;1001.399;1983.417;104.421
01_02_P198;1001.457;1984.073;104.412
01_02_P197;1001.523;1984.806;104.393
01_02_P196;1001.597;1985.669;104.362
01_02_P195;1001.358;1985.405;104.803
01_02_P194;1001.308;1984.845;104.82
01_02_P193;1001.247;1984.192;104.834
01_02_P192;1001.172;1983.377;104.844
01_02_P191;1001.088;1982.469;104.844
01_02_P190;1000.829;1982.207;105.251
01_02_P189;1000.901;1982.893;105.261
01_02_P188;1000.972;1983.618;105.26
01_02_P187;1001.037;1984.294;105.251
01_02_P186;1001.118;1985.156;105.229
01_02_P185;1000.897;1984.92;105.628
01_02_P184;1000.841;1984.345;105.64
01_02_P183;1000.769;1983.652;105.648
01_02_P182;1000.688;1982.872;105.647
01_02_P181;1000.6;1981.998;105.637
01_02_P180;1001.812;1982.474;104.43
01_02_P179;1001.853;1983.112;104.425
01_02_P178;1001.904;1983.887;104.41
01_02_P177;1001.958;1984.736;104.384
01_02_P176;1001.998;1985.391;104.356
01_02_P175;1001.809;1985.079;104.807
01_02_P174;1001.769;1984.463;104.828
01_02_P173;1001.732;1983.901;104.843
01_02_P172;1001.683;1983.157;104.855
01_02_P171;1001.618;1982.174;104.861
01_02_P170;1001.407;1981.854;105.292
01_02_P169;1001.464;1982.61;105.297
01_02_P168;1001.513;1983.316;105.291
01_02_P167;1001.56;1983.965;105.279
01_02_P166;1001.605;1984.642;105.26
01_02_P165;1001.442;1984.378;105.647
01_02_P164;1001.401;1983.788;105.661
01_02_P163;1001.36;1983.238;105.67
01_02_P162;1001.293;1982.305;105.675
01_02_P161;1001.237;1981.54;105.67
01_02_P160;1001.695;1984.256;105.621
01_02_P159;1001.615;1983.634;105.631
01_02_P158;1001.529;1982.985;105.637
01_02_P157;1001.413;1982.132;105.634
01_02_P156;1001.31;1981.344;105.623
01_02_P155;1001.461;1981.662;105.208
01_02_P154;1001.526;1982.155;105.216
01_02_P153;1001.626;1982.904;105.22
01_02_P152;1001.747;1983.833;105.211
01_02_P151;1001.84;1984.569;105.196
01_02_P150;1001.978;1984.868;104.794
01_02_P149;1001.881;1984.092;104.813
01_02_P148;1001.809;1983.535;104.823
01_02_P147;1001.724;1982.866;104.828
01_02_P146;1001.625;1982.089;104.828
01_02_P145;1001.778;1982.426;104.391
01_02_P144;1001.859;1983.055;104.39
01_02_P143;1001.955;1983.808;104.382
01_02_P142;1002.045;1984.517;104.365
01_02_P141;1002.123;1985.197;104.292
01_02_P140;1002.497;1985.031;104.286
01_02_P139;1002.41;1984.464;104.29
01_02_P138;1002.322;1983.903;104.291
01_02_P137;1002.19;1983.065;104.282
01_02_P136;1002.061;1982.236;104.266
01_02_P135;1001.982;1981.86;104.691
01_02_P134;1002.071;1982.427;104.711
01_02_P133;1002.17;1983.059;104.727
01_02_P132;1002.314;1983.984;104.738
01_02_P131;1002.411;1984.62;104.738
01_02_P130;1002.383;1984.241;105.185
01_02_P129;1002.29;1983.6;105.177
01_02_P128;1002.189;1982.916;105.164
01_02_P127;1002.093;1982.265;105.145
01_02_P126;1001.983;1981.513;105.116
01_02_P125;1001.901;1981.189;105.529
01_02_P124;1001.978;1981.7;105.552
01_02_P123;1002.087;1982.434;105.578
01_02_P122;1002.213;1983.279;105.595
01_02_P121;1002.315;1983.987;105.601
01_02_P120;1002.652;1983.914;105.595
01_02_P119;1002.56;1983.331;105.588
01_02_P118;1002.461;1982.716;105.577
01_02_P117;1002.336;1981.93;105.556
01_02_P116;1002.221;1981.207;105.528
01_02_P115;1002.259;1981.587;105.075
01_02_P114;1002.338;1982.084;105.095
01_02_P113;1002.444;1982.746;105.115
01_02_P112;1002.567;1983.513;105.128
01_02_P111;1002.686;1984.273;105.134
01_02_P110;1002.735;1984.656;104.664
01_02_P109;1002.632;1983.99;104.663
01_02_P108;1002.52;1983.278;104.656
01_02_P107;1002.402;1982.528;104.64
01_02_P106;1002.303;1981.894;104.623
01_02_P105;1002.341;1982.22;104.237
01_02_P104;1002.433;1982.806;104.252
01_02_P103;1002.527;1983.406;104.264
01_02_P102;1002.649;1984.184;104.269
01_02_P101;1002.773;1984.982;104.266
01_02_P100;1004.017;1984.925;104.243
01_02_P99;1004.072;1984.346;104.242
01_02_P98;1004.13;1983.724;104.236
01_02_P97;1004.202;1982.951;104.221
01_02_P96;1004.275;1982.173;104.199
01_02_P95;1004.358;1981.802;104.645
01_02_P94;1004.29;1982.52;104.671
01_02_P93;1004.227;1983.186;104.688
01_02_P92;1004.161;1983.889;104.698
01_02_P91;1004.099;1984.533;104.7
01_02_P90;1004.171;1984.141;105.174
01_02_P89;1004.231;1983.479;105.164
01_02_P88;1004.297;1982.74;105.147
01_02_P87;1004.363;1982.013;105.122
01_02_P86;1004.237;1981.408;105.1
01_02_P85;1004.287;1981.149;105.42
01_02_P84;1004.247;1981.903;105.454
01_02_P83;1004.216;1982.475;105.473
01_02_P82;1004.181;1983.15;105.488
01_02_P81;1004.142;1983.883;105.497
01_02_P80;1005.115;1984.103;105.473
01_02_P79;1005.196;1983.533;105.463
01_02_P78;1005.306;1982.745;105.443
01_02_P77;1005.418;1981.952;105.413
01_02_P76;1005.511;1981.308;105.369
01_02_P75;1005.389;1981.564;105.039
01_02_P74;1005.304;1982.16;105.07
01_02_P73;1005.198;1982.915;105.101
01_02_P72;1005.084;1983.729;105.122
01_02_P71;1004.994;1984.36;105.132
01_02_P70;1004.844;1984.701;104.686
01_02_P69;1004.944;1984.012;104.677
01_02_P68;1005.035;1983.376;104.664
01_02_P67;1005.147;1982.602;104.64
01_02_P66;1004.89;1981.872;104.615
01_02_P65;1004.714;1982.222;104.175
01_02_P64;1004.667;1982.888;104.199
01_02_P63;1004.622;1983.545;104.216
01_02_P62;1004.558;1984.479;104.228
01_02_P61;1004.519;1985.063;104.23
01_02_P60;1005.043;1985.239;104.21
01_02_P59;1005.144;1984.606;104.205
01_02_P58;1005.253;1983.907;104.193
01_02_P57;1005.378;1983.112;104.171
01_02_P56;1005.489;1982.411;104.145
01_02_P55;1005.708;1982.092;104.588
01_02_P54;1005.589;1982.84;104.621
01_02_P53;1005.47;1983.588;104.645
01_02_P52;1005.342;1984.392;104.661
01_02_P51;1005.267;1984.866;104.666
01_02_P50;1005.472;1984.556;105.102
01_02_P49;1005.572;1983.916;105.088
01_02_P48;1005.684;1983.205;105.067
01_02_P47;1005.805;1982.45;105.036
01_02_P46;1005.907;1981.813;105.004
01_02_P45;1006.084;1981.565;105.239
01_02_P44;1005.954;1982.368;105.3
01_02_P43;1005.847;1983.031;105.343
01_02_P42;1005.725;1983.804;105.382
01_02_P41;1005.648;1984.325;105.404
01_02_P40;1006.089;1984.63;105.391
01_02_P39;1006.219;1983.853;105.355
01_02_P38;1006.338;1983.162;105.315
01_02_P37;1006.465;1982.432;105.266
01_02_P36;1006.567;1981.849;105.222
01_02_P35;1006.319;1982.108;104.828
01_02_P34;1006.153;1983.053;104.896
01_02_P33;1006.064;1983.572;104.927
01_02_P32;1005.936;1984.332;104.964
01_02_P31;1005.853;1984.843;104.983
01_02_P30;1005.644;1985.081;104.601
01_02_P29;1005.772;1984.323;104.573
01_02_P28;1005.876;1983.702;104.544
01_02_P27;1006.001;1982.962;104.502
01_02_P26;1005.707;1982.29;104.471
01_02_P25;1005.442;1982.566;104.054
01_02_P24;1005.363;1983.518;104.107
01_02_P23;1005.304;1984.247;104.138
01_02_P22;1005.258;1984.824;104.156
01_02_P21;1005.213;1985.387;104.17
01_02_P20;1005.627;1985.625;104.159
01_02_P19;1005.765;1984.769;104.133
01_02_P18;1005.881;1984.046;104.103
01_02_P17;1005.996;1983.342;104.066
01_02_P16;1006.094;1982.739;104.031
01_02_P15;1006.382;1982.503;104.445
01_02_P14;1006.005;1983.572;104.522
01_02_P13;1005.936;1984.172;104.551
01_02_P12;1005.865;1984.808;104.575
01_02_P11;1005.805;1985.356;104.592
01_02_P10;1006.095;1985.121;105.018
01_02_P9;1006.217;1984.144;104.972
01_02_P8;1006.296;1983.506;104.935
01_02_P7;1006.362;1982.977;104.901
01_02_P6;1006.432;1982.416;104.861
01_02_P5;1005.89;1982.173;105.289
01_02_P4;1005.932;1983.234;105.365
01_02_P3;1005.953;1983.745;105.395
01_02_P2;1005.982;1984.392;105.425
01_02_P1;1006.013;1985.013;105.447
M5_01_02;1002.361;1988.591;98.347
M3_01_02;1002.262;1994.33;98.954
M1_01_02;1004.654;1988.943;98.836
