Gelenk;Translation_x;Translation_y;Translation_z
Gelenk_Maschine/0;-1322.9006349999995;510.87817400000006;1002.326965
Gelenk_0/1;-573.8793950000004;-1252.224564;687.8091430000001
Gelenk_1/2;-802.0975339999998;-1337.666183;138.32373099999995
Gelenk_2/3;-486.9448239999999;-649.2677000000001;666.762207
Gelenk_3/4;-477.22369400000014;-910.2229009999996;630.975586
Gelenk_4/5;-97.17248499999994;-230.46582000000035;-19.692139000000225
Gelenk_5/6;-58.49972600000001;-49.13842799999975;8.361572000000251
Gelenk_6/7;-305.29582200000004;-532.647461;-380.77417000000014
Maschine_neu/Gelenk_0;531.8350329999998;395.56286699999987;-13.484687000000008
